id.inegi,id.ife,MunName.IFE,MunName.IFE06,StateName,Abbrev
32058,32058,SANTA MARIA DE LA PAZ,Santa María de la Paz,Zacatecas,ZAC.
32057,32057,TRANCOSO,Trancoso,Zacatecas,ZAC.
32056,32056,ZACATECAS,Zacatecas,Zacatecas,ZAC.
32055,32055,VILLANUEVA,Villanueva,Zacatecas,ZAC.
32054,32054,VILLA HIDALGO,Villa Hidalgo,Zacatecas,ZAC.
32053,32053,VILLA GONZALEZ ORTEGA,Villa González Ortega,Zacatecas,ZAC.
32052,32052,VILLA GARCIA,Villa García,Zacatecas,ZAC.
32051,32051,VILLA DE COS,Villa de Cos,Zacatecas,ZAC.
32050,32050,VETAGRANDE,Vetagrande,Zacatecas,ZAC.
32049,32049,VALPARAISO,Valparaíso,Zacatecas,ZAC.
32048,32048,TLALTENANGO DE SANCHEZ ROMAN,Tlaltenango de Sánchez Román,Zacatecas,ZAC.
32047,32047,TEUL DE GONZALEZ ORTEGA,Teul de González Ortega,Zacatecas,ZAC.
32046,32046,TEPETONGO,Tepetongo,Zacatecas,ZAC.
32045,32045,TEPECHITLAN,Tepechitlán,Zacatecas,ZAC.
32044,32044,TABASCO,Tabasco,Zacatecas,ZAC.
32043,32043,SUSTICACAN,Susticacán,Zacatecas,ZAC.
32042,32042,SOMBRERETE,Sombrerete,Zacatecas,ZAC.
32041,32041,EL SALVADOR,El Salvador,Zacatecas,ZAC.
32040,32040,SAIN ALTO,Sain Alto,Zacatecas,ZAC.
32039,32039,RIO GRANDE,Río Grande,Zacatecas,ZAC.
32038,32038,PINOS,Pinos,Zacatecas,ZAC.
32037,32037,PANUCO,Pánuco,Zacatecas,ZAC.
32036,32036,OJOCALIENTE,Ojocaliente,Zacatecas,ZAC.
32035,32035,NORIA DE ANGELES,Noria de Ángeles,Zacatecas,ZAC.
32034,32034,NOCHISTLAN DE MEJIA,Nochistlán de Mejía,Zacatecas,ZAC.
32033,32033,MOYAHUA DE ESTRADA,Moyahua de Estrada,Zacatecas,ZAC.
32032,32032,MORELOS,Morelos,Zacatecas,ZAC.
32031,32031,MONTE ESCOBEDO,Monte Escobedo,Zacatecas,ZAC.
32030,32030,MOMAX,Momax,Zacatecas,ZAC.
32029,32029,MIGUEL AUZA,Miguel Auza,Zacatecas,ZAC.
32028,32028,MEZQUITAL DEL ORO,Mezquital del Oro,Zacatecas,ZAC.
32027,32027,MELCHOR OCAMPO,Melchor Ocampo,Zacatecas,ZAC.
32026,32026,MAZAPIL,Mazapil,Zacatecas,ZAC.
32025,32025,LUIS MOYA,Luis Moya,Zacatecas,ZAC.
32024,32024,LORETO,Loreto,Zacatecas,ZAC.
32023,32023,JUCHIPILA,Juchipila,Zacatecas,ZAC.
32022,32022,JUAN ALDAMA,Juan Aldama,Zacatecas,ZAC.
32021,32021,JIMENEZ DEL TEUL,Jiménez del Teul,Zacatecas,ZAC.
32020,32020,JEREZ,Jerez,Zacatecas,ZAC.
32019,32019,JALPA,Jalpa,Zacatecas,ZAC.
32018,32018,HUANUSCO,Huanusco,Zacatecas,ZAC.
32017,32017,GUADALUPE,Guadalupe,Zacatecas,ZAC.
32016,32016,GENERAL PANFILO NATERA,General Pánfilo Natera,Zacatecas,ZAC.
32015,32015,EL PLATEADO DE JOAQUIN AMARO,El Plateado de Joaquín Amaro,Zacatecas,ZAC.
32014,32014,GENERAL FRANCISCO R. MURGUIA,General Francisco R. Murguía,Zacatecas,ZAC.
32013,32013,GENERAL ENRIQUE ESTRADA,General Enrique Estrada,Zacatecas,ZAC.
32012,32012,GENARO CODINA,Genaro Codina,Zacatecas,ZAC.
32011,32011,TRINIDAD GARCIA DE LA CADENA,Trinidad García de la Cadena,Zacatecas,ZAC.
32010,32010,FRESNILLO,Fresnillo,Zacatecas,ZAC.
32009,32009,CHALCHIHUITES,Chalchihuites,Zacatecas,ZAC.
32008,32008,CUAUHTEMOC,Cuauhtémoc,Zacatecas,ZAC.
32007,32007,CONCEPCION DEL ORO,Concepción del Oro,Zacatecas,ZAC.
32006,32006,CAÑITAS DE FELIPE PESCADOR,Cañitas de Felipe Pescador,Zacatecas,ZAC.
32005,32005,CALERA,Calera,Zacatecas,ZAC.
32004,32004,BENITO JUAREZ,Benito Juárez,Zacatecas,ZAC.
32003,32003,ATOLINGA,Atolinga,Zacatecas,ZAC.
32002,32002,APULCO,Apulco,Zacatecas,ZAC.
32001,32001,APOZOL,Apozol,Zacatecas,ZAC.
31106,31106,YOBAIN,Yobaín,Yucatán,YUC.
31105,31105,YAXKUKUL,Yaxkukul,Yucatán,YUC.
31104,31104,YAXCABA,Yaxcabá,Yucatán,YUC.
31103,31103,XOCCHEL,Xocchel,Yucatán,YUC.
31102,31102,VALLADOLID,Valladolid,Yucatán,YUC.
31101,31101,UMAN,Umán,Yucatán,YUC.
31100,31100,UCU,Ucú,Yucatán,YUC.
31099,31099,UAYMA,Uayma,Yucatán,YUC.
31098,31098,TZUCACAB,Tzucacab,Yucatán,YUC.
31097,31097,TUNKAS,Tunkás,Yucatán,YUC.
31096,31096,TIZIMIN,Tizimín,Yucatán,YUC.
31095,31095,TIXPEHUAL,Tixpéhual,Yucatán,YUC.
31094,31094,TIXMEHUAC,Tixmehuac,Yucatán,YUC.
31093,31093,TIXKOKOB,Tixkokob,Yucatán,YUC.
31092,31092,TIXCACALCUPUL,Tixcacalcupul,Yucatán,YUC.
31091,31091,TINUM,Tinum,Yucatán,YUC.
31090,31090,TIMUCUY,Timucuy,Yucatán,YUC.
31089,31089,TICUL,Ticul,Yucatán,YUC.
31088,31088,TEYA,Teya,Yucatán,YUC.
31087,31087,TETIZ,Tetiz,Yucatán,YUC.
31086,31086,TEPAKAN,Tepakán,Yucatán,YUC.
31085,31085,TEMOZON,Temozón,Yucatán,YUC.
31084,31084,TEMAX,Temax,Yucatán,YUC.
31083,31083,TELCHAC PUERTO,Telchac Puerto,Yucatán,YUC.
31082,31082,TELCHAC PUEBLO,Telchac Pueblo,Yucatán,YUC.
31081,31081,TEKOM,Tekom,Yucatán,YUC.
31080,31080,TEKIT,Tekit,Yucatán,YUC.
31079,31079,TEKAX,Tekax,Yucatán,YUC.
31078,31078,TEKANTO,Tekantó,Yucatán,YUC.
31077,31077,TEKAL DE VENEGAS,Tekal de Venegas,Yucatán,YUC.
31076,31076,TECOH,Tecoh,Yucatán,YUC.
31075,31075,TEABO,Teabo,Yucatán,YUC.
31074,31074,TAHMEK,Tahmek,Yucatán,YUC.
31073,31073,TAHDZIU,Tahdziú,Yucatán,YUC.
31072,31072,SUMA,Suma,Yucatán,YUC.
31071,31071,SUDZAL,Sudzal,Yucatán,YUC.
31070,31070,SUCILA,Sucilá,Yucatán,YUC.
31069,31069,SOTUTA,Sotuta,Yucatán,YUC.
31068,31068,SINANCHE,Sinanché,Yucatán,YUC.
31067,31067,SEYE,Seyé,Yucatán,YUC.
31066,31066,SANTA ELENA,Santa Elena,Yucatán,YUC.
31065,31065,SAN FELIPE,San Felipe,Yucatán,YUC.
31064,31064,SANAHCAT,Sanahcat,Yucatán,YUC.
31063,31063,SAMAHIL,Samahil,Yucatán,YUC.
31062,31062,SACALUM,Sacalum,Yucatán,YUC.
31061,31061,RIO LAGARTOS,Río Lagartos,Yucatán,YUC.
31060,31060,QUINTANA ROO,Quintana Roo,Yucatán,YUC.
31059,31059,PROGRESO,Progreso,Yucatán,YUC.
31058,31058,PETO,Peto,Yucatán,YUC.
31057,31057,PANABA,Panabá,Yucatán,YUC.
31056,31056,OXKUTZCAB,Oxkutzcab,Yucatán,YUC.
31055,31055,OPICHEN,Opichén,Yucatán,YUC.
31054,31054,MUXUPIP,Muxupip,Yucatán,YUC.
31053,31053,MUNA,Muna,Yucatán,YUC.
31052,31052,MOTUL,Motul,Yucatán,YUC.
31051,31051,MOCOCHA,Mocochá,Yucatán,YUC.
31050,31050,MERIDA,Mérida,Yucatán,YUC.
31049,31049,MAYAPAN,Mayapán,Yucatán,YUC.
31048,31048,MAXCANU,Maxcanú,Yucatán,YUC.
31047,31047,MANI,Maní,Yucatán,YUC.
31046,31046,MAMA,Mama,Yucatán,YUC.
31045,31045,KOPOMA,Kopomá,Yucatán,YUC.
31044,31044,KINCHIL,Kinchil,Yucatán,YUC.
31043,31043,KAUA,Kaua,Yucatán,YUC.
31042,31042,KANTUNIL,Kantunil,Yucatán,YUC.
31041,31041,KANASIN,Kanasín,Yucatán,YUC.
31040,31040,IZAMAL,Izamal,Yucatán,YUC.
31039,31039,IXIL,Ixil,Yucatán,YUC.
31038,31038,HUNUCMA,Hunucmá,Yucatán,YUC.
31037,31037,HUHI,Huhí,Yucatán,YUC.
31036,31036,HOMUN,Homún,Yucatán,YUC.
31035,31035,HOCTUN,Hoctún,Yucatán,YUC.
31034,31034,HOCABA,Hocabá,Yucatán,YUC.
31033,31033,HALACHO,Halachó,Yucatán,YUC.
31032,31032,ESPITA,Espita,Yucatán,YUC.
31031,31031,DZONCAUICH,Dzoncauich,Yucatán,YUC.
31030,31030,DZITAS,Dzitás,Yucatán,YUC.
31029,31029,DZILAM GONZALEZ,Dzilam González,Yucatán,YUC.
31028,31028,DZILAM DE BRAVO,Dzilam de Bravo,Yucatán,YUC.
31027,31027,DZIDZANTUN,Dzidzantún,Yucatán,YUC.
31026,31026,DZEMUL,Dzemul,Yucatán,YUC.
31025,31025,DZAN,Dzán,Yucatán,YUC.
31024,31024,CHUMAYEL,Chumayel,Yucatán,YUC.
31023,31023,CHOCHOLA,Chocholá,Yucatán,YUC.
31022,31022,CHIKINDZONOT,Chikindzonot,Yucatán,YUC.
31021,31021,CHICHIMILA,Chichimilá,Yucatán,YUC.
31020,31020,CHICXULUB PUEBLO,Chicxulub Pueblo,Yucatán,YUC.
31019,31019,CHEMAX,Chemax,Yucatán,YUC.
31018,31018,CHAPAB,Chapab,Yucatán,YUC.
31017,31017,CHANKOM,Chankom,Yucatán,YUC.
31016,31016,CHACSINKIN,Chacsinkín,Yucatán,YUC.
31015,31015,CUZAMA,Cuzamá,Yucatán,YUC.
31014,31014,CUNCUNUL,Cuncunul,Yucatán,YUC.
31013,31013,CONKAL,Conkal,Yucatán,YUC.
31012,31012,CENOTILLO,Cenotillo,Yucatán,YUC.
31011,31011,CELESTUN,Celestún,Yucatán,YUC.
31010,31010,CANTAMAYEC,Cantamayec,Yucatán,YUC.
31009,31009,CANSAHCAB,Cansahcab,Yucatán,YUC.
31008,31008,CALOTMUL,Calotmul,Yucatán,YUC.
31007,31007,CACALCHEN,Cacalchén,Yucatán,YUC.
31006,31006,BUCTZOTZ,Buctzotz,Yucatán,YUC.
31005,31005,BOKOBA,Bokobá,Yucatán,YUC.
31004,31004,BACA,Baca,Yucatán,YUC.
31003,31003,AKIL,Akil,Yucatán,YUC.
31002,31002,ACANCEH,Acanceh,Yucatán,YUC.
31001,31001,ABALA,Abalá,Yucatán,YUC.
30212,30212,SANTIAGO SOCHIAPAN,Santiago Sochiapan,Veracruz de Ignacio de la Llave,VER.
30211,30211,SAN RAFAEL,San Rafael,Veracruz de Ignacio de la Llave,VER.
30209,30210,TATAHUICAPAN DE JUAREZ,Tatahuicapan de Juárez,Veracruz de Ignacio de la Llave,VER.
30210,30209,UXPANAPA,Uxpanapa,Veracruz de Ignacio de la Llave,VER.
30208,30208,CARLOS A. CARRILLO,Carlos A. Carrillo,Veracruz de Ignacio de la Llave,VER.
30205,30207,EL HIGO,El Higo,Veracruz de Ignacio de la Llave,VER.
30204,30206,AGUA DULCE,Agua Dulce,Veracruz de Ignacio de la Llave,VER.
30206,30205,NANCHITAL DE LAZARO CARDENAS DEL RIO,Nanchital de Lázaro Cárdenas del Río,Veracruz de Ignacio de la Llave,VER.
30207,30204,TRES VALLES,Tres Valles,Veracruz de Ignacio de la Llave,VER.
30203,30203,ZOZOCOLCO DE HIDALGO,Zozocolco de Hidalgo,Veracruz de Ignacio de la Llave,VER.
30202,30202,ZONTECOMATLAN,Zontecomatlán,Veracruz de Ignacio de la Llave,VER.
30201,30201,ZONGOLICA,Zongolica,Veracruz de Ignacio de la Llave,VER.
30200,30200,ZENTLA,Zentla,Veracruz de Ignacio de la Llave,VER.
30199,30199,ZARAGOZA,Zaragoza,Veracruz de Ignacio de la Llave,VER.
30198,30198,ZACUALPAN,Zacualpan,Veracruz de Ignacio de la Llave,VER.
30197,30197,YECUATLA,Yecuatla,Veracruz de Ignacio de la Llave,VER.
30196,30196,YANGA,Yanga,Veracruz de Ignacio de la Llave,VER.
30195,30195,XOXOCOTLA,Xoxocotla,Veracruz de Ignacio de la Llave,VER.
30092,30194,XICO,Xico,Veracruz de Ignacio de la Llave,VER.
30194,30193,VILLA ALDAMA,Villa Aldama,Veracruz de Ignacio de la Llave,VER.
30193,30192,VERACRUZ,Veracruz,Veracruz de Ignacio de la Llave,VER.
30192,30191,VEGA DE ALATORRE,Vega de Alatorre,Veracruz de Ignacio de la Llave,VER.
30191,30190,URSULO GALVAN,Ursulo Galván,Veracruz de Ignacio de la Llave,VER.
30190,30189,TUXTILLA,Tuxtilla,Veracruz de Ignacio de la Llave,VER.
30189,30188,TUXPAN,Tuxpan,Veracruz de Ignacio de la Llave,VER.
30188,30187,TOTUTLA,Totutla,Veracruz de Ignacio de la Llave,VER.
30187,30186,TONAYAN,Tonayán,Veracruz de Ignacio de la Llave,VER.
30186,30185,TOMATLAN,Tomatlán,Veracruz de Ignacio de la Llave,VER.
30185,30184,TLILAPAN,Tlilapan,Veracruz de Ignacio de la Llave,VER.
30184,30183,TLAQUILPA,Tlaquilpa,Veracruz de Ignacio de la Llave,VER.
30183,30182,TLAPACOYAN,Tlapacoyan,Veracruz de Ignacio de la Llave,VER.
30182,30181,TLALNELHUAYOCAN,Tlalnelhuayocan,Veracruz de Ignacio de la Llave,VER.
30181,30180,TLALIXCOYAN,Tlalixcoyan,Veracruz de Ignacio de la Llave,VER.
30180,30179,TLACHICHILCO,Tlachichilco,Veracruz de Ignacio de la Llave,VER.
